1701388800000,37733.13000000,37751.87000000,37623.70000000,37690.46000000,20.08582000,1701392399999,756520.88679900,464,8.01518000,301799.65414980,0
1701392400000,37686.67000000,37969.73000000,37646.06000000,37949.00000000,31.45891000,1701395999999,1191013.55733630,777,17.64619000,667874.49207810,0
1701396000000,37958.96000000,38085.84000000,37876.04000000,37993.55000000,20.23293000,1701399599999,768291.04372640,562,10.32641000,392119.60812970,0
1701399600000,38008.25000000,38073.28000000,37953.63000000,38054.22000000,25.12743000,1701403199999,955165.80035050,519,13.79344000,524240.73290730,0
1701403200000,38054.24000000,38252.12000000,38034.95000000,38195.03000000,52.96341000,1701406799999,2021165.02241760,1414,28.24024000,1077570.96057060,0
1701406800000,38186.96000000,38218.89000000,38110.63000000,38134.77000000,22.56727000,1701410399999,861201.02981950,809,9.97171000,380470.34220780,0
1701410400000,38131.40000000,38233.14000000,38083.79000000,38223.88000000,38.43829000,1701413999999,1465743.37591950,3203,14.32693000,546400.21537760,0
1701414000000,38223.89000000,38358.68000000,38214.30000000,38248.07000000,51.19846000,1701417599999,1960749.06578530,2069,20.00147000,765810.03732660,0
1701417600000,38250.25000000,38368.22000000,38224.47000000,38329.20000000,44.91295000,1701421199999,1719870.49248260,2927,16.12963000,617684.97931930,0
1701421200000,38325.10000000,38728.66000000,38325.10000000,38719.63000000,88.85624000,1701424799999,3428729.64691310,2216,48.10400000,1855893.93126930,0
1701424800000,38719.63000000,38847.40000000,38551.19000000,38559.30000000,78.63622000,1701428399999,3043188.01812860,1482,32.58677000,1260551.70462870,0
1701428400000,38552.19000000,38673.53000000,38525.79000000,38595.79000000,29.43647000,1701431999999,1136350.09688810,685,13.07337000,504594.48341600,0
1701432000000,38595.80000000,38643.63000000,38315.11000000,38375.39000000,58.71624000,1701435599999,2258454.99377820,1019,24.69987000,950021.85535710,0
1701435600000,38374.66000000,38447.79000000,38314.05000000,38375.18000000,30.22657000,1701439199999,1160216.86014750,624,15.00729000,575983.89408510,0
1701439200000,38375.33000000,38406.24000000,38225.58000000,38329.46000000,55.23564000,1701442799999,2116780.84001810,935,27.72267000,1062198.82666340,0
1701442800000,38335.68000000,38455.31000000,38298.89000000,38427.18000000,55.46428000,1701446399999,2129760.50485360,1187,22.84712000,877106.38790870,0
1701446400000,38427.04000000,38999.97000000,38405.28000000,38822.04000000,113.37412000,1701449999999,4391482.07778280,2597,51.53561000,1996208.91943940,0
1701450000000,38812.17000000,38900.25000000,38712.62000000,38810.57000000,65.02102000,1701453599999,2522978.45123900,1875,27.89712000,1082248.25564140,0
1701453600000,38810.57000000,38937.16000000,38723.81000000,38723.81000000,50.99683000,1701457199999,1979322.71816910,1873,19.85058000,770418.51000800,0
1701457200000,38718.76000000,38797.89000000,38637.90000000,38777.22000000,44.77124000,1701460799999,1732920.84157780,939,25.04235000,969326.78903580,0
1701460800000,38777.22000000,38883.21000000,38724.32000000,38772.58000000,35.40684000,1701464399999,1373761.78769220,961,19.80599000,768332.83070530,0
1701464400000,38765.49000000,38918.66000000,38765.49000000,38815.48000000,32.45505000,1701467999999,1260790.02559600,867,13.75322000,534232.72452900,0
1701468000000,38789.13000000,38869.40000000,38708.81000000,38723.65000000,18.17431000,1701471599999,704995.19464810,637,9.39703000,364447.68444560,0
1701471600000,38723.66000000,38755.49000000,38664.70000000,38701.36000000,15.33445000,1701475199999,593505.19042830,475,7.31367000,283057.26488380,0
1701475200000,38700.78000000,38752.97000000,38659.88000000,38725.18000000,18.68676000,1701478799999,723223.02408320,609,7.50809000,290559.73808980,0
1701478800000,38736.63000000,38815.24000000,38715.24000000,38770.64000000,14.82329000,1701482399999,574886.39452710,472,8.36158000,324295.70974050,0
1701482400000,38775.57000000,38789.68000000,38689.15000000,38743.55000000,8.36720000,1701485999999,324114.68154420,344,3.59560000,139256.82582510,0
