1675209600000,23127.55000000,23169.57000000,22995.63000000,23086.50000000,6077.53399000,1675213199999,140289069.09814090,118580,3018.73465000,69684637.87301500,0
1675213200000,23086.14000000,23184.98000000,23056.86000000,23124.42000000,5232.79766000,1675216799999,120959349.34290790,96800,2670.71501000,61735230.17061470,0
1675216800000,23124.06000000,23131.68000000,23078.87000000,23108.09000000,3477.56273000,1675220399999,80329977.61401710,68526,1708.86776000,39474581.80813240,0
1675220400000,23108.95000000,23134.91000000,23039.57000000,23131.46000000,3507.05025000,1675223999999,80990948.48290310,70132,1784.56068000,41213847.27087510,0
1675224000000,23130.95000000,23157.39000000,23108.00000000,23136.38000000,3258.32690000,1675227599999,75384674.61882250,63886,1666.67669000,38561041.89014620,0
1675227600000,23136.44000000,23167.99000000,23113.26000000,23119.65000000,3153.44248000,1675231199999,72982751.88340110,58984,1558.35820000,36066757.49079400,0
1675231200000,23119.81000000,23133.39000000,23050.00000000,23067.63000000,4440.90496000,1675234799999,102575152.82295350,83178,2204.11018000,50910614.59869700,0
1675234800000,23066.74000000,23115.99000000,23018.67000000,23077.22000000,4428.53102000,1675238399999,102173096.79936520,82601,2179.98933000,50297527.74557210,0
1675238400000,23077.22000000,23089.08000000,22940.32000000,22984.04000000,6254.98168000,1675241999999,143904792.86886230,111626,3062.29343000,70454390.71482590,0
1675242000000,22983.10000000,23022.52000000,22918.93000000,22993.89000000,4392.96290000,1675245599999,100965080.73655010,90099,2192.71772000,50396269.09391510,0
1675245600000,22993.70000000,23014.51000000,22945.12000000,22996.18000000,3423.35813000,1675249199999,78695182.18906680,70753,1664.14858000,38255342.80756550,0
1675249200000,22997.17000000,23102.42000000,22988.88000000,23078.32000000,4920.77355000,1675252799999,113465483.16275970,91999,2440.12851000,56265990.08593380,0
1675252800000,23077.85000000,23110.00000000,23048.56000000,23061.46000000,4468.75444000,1675256399999,103152874.29830220,80828,2171.91406000,50136227.84580680,0
1675256400000,23061.46000000,23144.75000000,23017.35000000,23086.72000000,6505.56497000,1675259999999,150221621.31094970,113586,3194.91735000,73776299.81597680,0
1675260000000,23087.41000000,23145.29000000,23030.14000000,23102.12000000,7763.05803000,1675263599999,179334840.10080810,127107,3865.89879000,89309998.56642140,0
1675263600000,23102.66000000,23114.46000000,22941.27000000,22980.42000000,9080.69261000,1675267199999,209134147.57370860,151376,4497.59995000,103585359.67273770,0
1675267200000,22980.12000000,23037.34000000,22920.37000000,23001.47000000,3058.70763000,1675270799999,70342745.73632950,77080,1527.73719000,35134135.60822200,0
1675270800000,23001.20000000,23039.90000000,22928.38000000,22993.46000000,3745.99217000,1675274399999,86114724.93117360,91007,1929.21953000,44350944.92647020,0
1675274400000,22994.60000000,23128.00000000,22944.76000000,23077.94000000,7478.71514000,1675277999999,172354238.37466250,145962,3761.56165000,86692228.08127700,0
1675278000000,23076.43000000,23497.43000000,22755.78000000,23387.15000000,28866.71215000,1675281599999,667927478.47938520,455583,14599.20053000,337850461.34962580,0
1675281600000,23387.37000000,23653.11000000,23320.11000000,23573.83000000,16763.66715000,1675285199999,393835389.10885000,256467,8429.37093000,198051558.61374150,0
1675285200000,23574.34000000,23800.00000000,23534.46000000,23682.45000000,12596.98638000,1675288799999,298566413.83043290,213217,6405.39211000,151820910.62727740,0
1675288800000,23680.84000000,23816.65000000,23654.54000000,23716.61000000,5681.54169000,1675292399999,134844943.80352180,120936,2980.07316000,70734339.91962890,0
1675292400000,23715.32000000,23788.33000000,23683.57000000,23733.89000000,4704.56682000,1675295999999,111661734.72764910,100055,2399.36821000,56949316.36155360,0
1675296000000,23733.65000000,24263.89000000,23690.75000000,24193.21000000,17235.47188000,1675299599999,412767966.61285590,256374,8961.70819000,214627874.37679250,0
1675299600000,24194.71000000,24212.32000000,23950.00000000,23956.64000000,9795.62546000,1675303199999,235682605.02761430,164365,4879.78900000,117412027.25546550,0
1675303200000,23956.59000000,23994.63000000,23836.46000000,23888.65000000,5584.63977000,1675306799999,133542289.87551910,103514,2691.71492000,64364630.06112790,0
1675306800000,23890.42000000,23939.00000000,23852.26000000,23854.14000000,4109.96252000,1675310399999,98217199.80975120,76861,1983.78472000,47408553.56464710,0
1675310400000,23853.79000000,23911.00000000,23843.13000000,23888.41000000,3694.29780000,1675313999999,88229091.32171880,71302,1831.14068000,43733137.51457310,0
1675314000000,23887.20000000,23926.26000000,23803.71000000,23807.51000000,4087.29212000,1675317599999,97570173.59090400,76014,2051.85540000,48981687.09605270,0
1675317600000,23808.68000000,23835.40000000,23654.94000000,23792.33000000,6011.83901000,1675321199999,142881109.94512660,106060,2920.90243000,69425680.59275630,0
1675321200000,23791.96000000,23838.79000000,23745.01000000,23787.13000000,4272.93389000,1675324799999,101693568.88028450,79916,2163.84020000,51500663.45952880,0
1675324800000,23787.80000000,23858.81000000,23772.90000000,23805.36000000,4582.97739000,1675328399999,109141040.02438000,88721,2313.47544000,55093888.95283000,0
1675328400000,23804.53000000,23840.57000000,23756.41000000,23836.26000000,4237.68735000,1675331999999,100832511.32505120,88604,2166.57935000,51554136.95289820,0
1675332000000,23836.45000000,23841.16000000,23776.30000000,23786.58000000,3670.93324000,1675335599999,87380377.43057550,74770,1809.97844000,43085324.84223250,0
1675335600000,23786.55000000,23856.56000000,23778.12000000,23827.45000000,4082.75675000,1675339199999,97260679.52555870,85019,2114.14608000,50364073.39380760,0
1675339200000,23827.31000000,23837.74000000,23764.77000000,23805.51000000,5906.54019000,1675342799999,140595552.22921080,117542,2900.13035000,69034611.59476960,0
1675342800000,23805.98000000,23819.54000000,23717.03000000,23767.61000000,7037.26667000,1675346399999,167315968.38356770,123966,3450.88173000,82049926.87648890,0
1675346400000,23767.27000000,23946.67000000,23530.43000000,23612.27000000,16382.32345000,1675349999999,389669459.57971600,257850,8138.29626000,193599369.51000390,0
1675350000000,23613.00000000,23930.00000000,23558.60000000,23841.71000000,14615.80392000,1675353599999,346572070.50611720,242876,7423.82249000,176039844.65508670,0
1675353600000,23841.74000000,23900.84000000,23767.00000000,23793.91000000,9762.80188000,1675357199999,232670311.61887840,177199,4815.61377000,114771245.84312080,0
1675357200000,23793.87000000,23936.21000000,23781.04000000,23896.47000000,5749.64331000,1675360799999,137163472.74868420,119992,2975.85290000,70995666.20017720,0
1675360800000,23896.41000000,24146.77000000,23891.90000000,24057.53000000,12435.06630000,1675364399999,299003010.80021860,215309,6405.19362000,154017751.87288890,0
